School type,Gender,Number of classes daily,Location of school,Remedial classes,Number of peer teachers,Library ,School level,Average KCSE Score,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,34.33,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,69.8,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,49.76,,,,
single-Gender,Female,11,Voi,yes,30,Yes,Extra County,80,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,77.1,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,76.8,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,70.22,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,61.7,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.65,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.67,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,60,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,61.8,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,62.5,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,45.89,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,35.77,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,50.2,,,,
